zcta,HouseCount,HouseMedianIncome,IncomeUnder25K,IncomeOver100K,JobCount,latitude,longitude
69153,2739,40313,30.6,13.7,562,41.101361,-101.675692
69154,533,45469,26.8,15.8,148,41.430572,-102.351775
69155,501,60179,14.6,21.5,48,41.188361,-101.389426
69156,282,51324,17.0,24.2,26,41.310781,-103.331902
69157,23,-,13.0,96.3,6,42.062187,-100.153362
69161,50,23333,54,37.7,2,42.156506,-100.781305
69162,3425,60488,20.0,18.6,1052,41.129189,-103.016494
69163,387,53750,18.3,16.1,52,41.569639,-100.541642
69165,787,68807,14.4,23.0,80,41.264859,-101.207258
69166,295,58036,22.7,18.2,44,42.030913,-100.618323
69167,161,60268,32.3,22.6,12,41.596232,-101.006031
69168,119,58359,20.2,17.2,12,40.798996,-101.986523
69169,235,62917,10.7,23.2,50,40.821942,-101.160866
69170,122,42857,19.7,34.8,8,40.796027,-100.744306
69171,3,-,0,100,2,40.890044,-100.070711
69201,1788,54958,17.6,11.3,410,42.739801,-100.567059
69210,1229,44556,30.5,13.5,218,42.359562,-99.92392
69211,256,27018,14.1,10.3,18,42.832024,-101.303203
69212,116,33750,33.6,22.5,8,42.93293,-100.801436
69214,98,39167,20.4,7.6,12,42.598549,-100.099662
69216,42,42500,23.8,55.9,4,42.977809,-100.98359
69217,154,29615,35.6,28.4,44,42.633788,-99.765595
69218,105,51125,18.1,4.0,4,42.789248,-101.674835
69219,48,93500,8.4,70.2,2,42.48984,-101.337979
69220,10,79000,0,50.8,6,42.865604,-100.130357
69301,4107,55750,19.2,18.7,574,42.122965,-102.88128
69331,23,-,0,32.7,2,41.897273,-102.991332
69333,120,55000,30.0,20.1,14,42.050942,-101.966594
69334,843,45362,21.8,14.8,62,41.821808,-103.29016
69336,1097,44821,18.6,13.2,148,41.628527,-103.167371
69337,2680,50952,24.2,12.1,430,42.827175,-103.012899
69339,750,39167,29.0,10.2,88,42.604343,-103.412936
69340,55,72813,0,47.8,2,42.21487,-102.207861
69341,4201,54659,17.3,17.9,478,41.72097,-103.632808
69343,1038,36063,29.8,9.5,182,42.702399,-102.033157
69345,191,50208,24.5,14.2,10,41.589582,-103.744624
69346,270,43438,32.3,17.0,20,42.625227,-103.792979
69347,575,52557,21.6,24.3,44,42.606578,-102.684374
69348,615,59115,21.9,21.8,60,42.268106,-103.349581
69350,173,48542,28.3,14.3,42,41.961247,-101.764942
69351,106,42105,27.4,12.8,4,42.028806,-102.421861
69352,275,55268,17.1,17.2,16,41.803986,-103.973548
69353,13,-,53.9,64.5,2,41.747228,-103.416509
69354,53,-,45.3,5.8,2,42.391096,-103.688178
69355,70,58750,24.2,5.2,6,41.781276,-103.505472
69356,704,44375,32.6,9.0,28,41.901589,-103.45094
69357,1519,48995,22.2,16.5,122,42.110496,-103.768458
69358,815,51555,21.1,21.2,56,42.066266,-103.968333
69360,586,45000,25.0,10.1,88,42.696937,-102.467053
