id,state,county,rate
3824,3325,74267,23.1
3825,3433,84519,14.8
3826,1052,79722,7.1
3827,1203,99561,5.8
3830,841,57157,21.4
3832,178,71447,12.9
3833,8894,84883,14.2
3835,2719,60562,20.2
3836,587,59330,16.1
3837,656,66297,15.1
3838,533,55996,19.3
3839,1430,58438,19.1
3840,1505,106763,6
3841,2569,91045,12.8
3842,7057,78454,12.8
3844,896,129141,7.2
3845,580,60800,14.3
3846,455,62875,13.8
3847,201,88285,0
3848,2324,93154,8.5
3849,528,55714,15.6
3850,169,74297,26.1
3851,1541,66950,13
3852,191,67734,11.5
3853,257,53438,21.8
3854,467,113281,6.5
3855,995,77596,6.2
3856,540,122750,4.3
3857,4090,69107,15.5
3858,1803,105288,8.3
3860,1739,59442,14.2
3861,1752,108462,4.5
3862,1747,103520,7
3864,727,53295,24.9
3865,3000,84125,5.7
3867,9211,53022,20.9
3868,2196,61094,19.5
3869,1020,74697,9.2
3870,2164,105645,10.4
3871,45,-,0
3872,1415,62545,12.9
3873,2210,102358,5.6
3874,3975,62005,17.3
3875,529,80234,4.7
3878,4933,62723,18
3882,602,50000,19.8
3883,53,30450,0
3884,1387,102688,8.3
3885,2747,106250,4.2
3886,911,54560,14
3887,731,73011,13.3
3890,149,58708,31.6
3894,2929,50907,19
3901,2945,72731,14.3
3902,970,76176,16.9
3903,2569,82587,11.4
3904,3312,72228,10.9
3905,921,79911,24.6
3906,1836,75000,14
3907,668,67833,18.1
3908,2784,88438,9.9
3909,4310,87329,15.3
3910,163,57281,0
3911,45,-,35.6
4001,1025,62659,18.2
4002,2826,65347,13.6
4003,174,84250,17.8
4005,9172,51118,20.8
4006,106,-,56.6
4008,1185,70355,21.8
4009,2079,48524,26.3
4010,553,52986,19.6
4011,8297,58125,19.2
4015,1468,51842,30.4
4017,237,61250,22.3
4020,573,38875,37.2
4021,2240,106375,6.6
4022,375,60179,17.9
4024,229,67574,19.6
4027,2211,65750,14.2
4029,701,55583,14.3
4030,1057,66469,8.8
4032,3354,79500,10.3
4037,1264,42500,23.3
4038,6101,76267,13.3
4039,3180,70529,14.5
4040,1391,44613,26.2
4041,614,41857,34.2
4042,1977,55433,13.3
4043,4972,73105,15.8
4046,3406,68587,16.1
4047,763,51023,25.4
4048,1175,51790,26.3
4049,1274,63773,18.4
4050,118,64167,19.5
4051,403,55781,17.9
4055,1648,62083,18.2
4056,133,52813,31.6
4057,19,-,100
4061,1101,72930,11.8
4062,6438,72893,13.2
4063,316,41786,39
4064,4370,50843,24.6
4066,318,76912,13.5
4068,546,43824,21.6
4069,634,83700,5.7
4071,2112,72717,9.1
4072,7712,63750,12.9
4073,6832,43974,27.4
4074,7582,90040,11.5
4076,1093,65417,13.1
4079,1693,72247,18.8
4083,1865,51599,25.2
4084,2829,73523,16.3
4085,804,65000,3.8
4086,3734,73937,14.9
4087,607,53117,37
4088,585,49063,23.2
4090,4551,65230,15.5
4091,330,50833,26.7
4092,8054,51062,26.6
4093,3141,65762,12.3
4095,543,42083,12.1
4096,3533,77695,10.7
4097,1362,94058,8.8
4101,8797,38876,34.6
4102,7783,49426,24.4
4103,13130,63804,21.6
4105,4613,107194,7.7
4106,10791,59979,19.7
4107,3733,106343,7.6
4108,396,67000,13.9
4109,47,62589,0
4110,557,162227,4.9
4210,9916,48363,26
4216,176,42500,26.7
4217,1194,47333,22.8
4219,595,45813,22.8
4220,1096,45663,25.5
4221,317,50417,25.2
4222,1573,73750,8.7
4224,949,33445,36.3
4226,73,50096,23.3
4227,30,36324,20
4228,30,-,100
4231,109,45313,34.9
4234,50,29516,0
4236,1625,66303,11
4237,83,73906,8.4
4238,489,58250,11
4239,1727,59769,14.6
4240,16063,39890,33
4250,1811,48199,24.2
4252,1777,58179,14.6
4253,847,57944,21.2
4254,1384,31154,38.2
4255,240,63250,15.5
4256,1145,60462,24.8
4257,968,44306,29.3
4258,923,67961,11.7
4259,1205,66985,20.8
4260,2156,65446,7.4
4261,155,53125,24.5
4263,851,53705,16.9
4265,479,56050,20.7
4267,16,83000,0
4268,1664,41034,25.2
4270,2346,51359,21.2
4271,0,-,0
4274,2345,63359,12.9
4275,131,47750,31.3
4276,2415,30777,39.9
4280,2701,60225,9.4
4281,1888,42857,27.5
4282,2272,61688,11.7
4284,440,64773,16.6
4285,181,49219,17.1
4286,46,-,0
4287,1365,55125,17.5
4289,637,44531,24.4
4290,501,54010,17.6
4292,346,48750,23.5
4294,1552,45158,25.7
4330,11159,44127,25
4342,731,70129,14.9
4343,42,-,0
4344,1430,34845,29.4
4345,4559,54180,19.2
4346,862,46893,21
4347,1127,54464,24.1
4348,1154,53830,18.2
4349,426,61667,9.4
4350,1402,69706,8.9
4351,1058,70455,19.6
4352,687,53906,19.7
4353,938,45147,26.9
4354,649,48882,18.2
4355,1060,74559,13.2
4357,1608,51563,23.7
4358,1685,53257,20.3
4359,181,-,23.8
4360,206,50938,22.9
4363,1023,55025,22.4
4364,2469,67207,15.2
4401,18900,46493,27
4406,305,37188,34.1
4408,75,49375,24
4410,432,45063,27.5
4411,639,51172,18.4
4412,3754,56354,20.5
4413,105,46917,19.1
4414,563,36713,32.5
