intensity,latitude,longitude
15299,42.928949,-78.750273
12466,42.971014,-78.796455
9249,43.044371,-78.777335
5468,43.095821,-79.040408
4981,43.235972,-78.216477
1427,43.082693,-77.980115
523,42.60443,-77.216428
7127,43.211739,-77.934564
964,43.084761,-78.066965
824,42.621574,-78.054058
4129,42.570141,-77.733764
7768,42.847695,-76.998972
3216,43.205212,-78.057685
878,43.329379,-78.0428
2731,43.089845,-76.994319
2004,43.159419,-77.168961
498,42.684916,-77.254886
1859,42.68301,-77.869009
2623,43.109912,-77.81499
3892,43.061423,-77.220399
4976,42.665508,-77.066309
750,42.756251,-77.243735
1872,43.032728,-77.78011
1573,42.976072,-77.24387
705,42.679902,-78.093487
2012,43.218114,-77.049402
2619,42.735221,-78.171092
456,43.341652,-78.251742
2978,43.249424,-77.174261
2130,43.242547,-76.826243
11342,43.171047,-77.697953
17532,43.177093,-77.554873
4853,43.182171,-77.640175
7054,43.201207,-77.654749
5309,43.136456,-77.649477
11232,43.128291,-77.605805
8598,43.087349,-77.641862
16728,42.08016,-79.25671
52,42.019219,-78.063617
1133,42.07653,-78.14475
852,42.390637,-79.445044
1352,42.341958,-78.875953
73,42.013905,-78.266442
585,42.253585,-79.020279
1575,42.160122,-79.172199
1180,42.45269,-78.096169
1752,42.32905,-78.428611
1195,42.192604,-78.146295
759,42.211871,-78.396009
455,42.4281,-78.206654
277,42.157106,-78.643074
277,42.021908,-78.201569
1237,42.233756,-78.804596
674,42.057352,-79.514135
1481,42.15747,-78.952618
254,42.38608,-78.273772
2726,42.081231,-78.777985
918,42.265508,-79.263865
280,42.311143,-79.385369
2057,42.31124,-79.565066
2105,42.104056,-77.292968
444,42.273416,-77.745296
417,42.350109,-76.719369
1174,42.300727,-77.005249
1056,42.252647,-77.995104
386,42.374287,-77.086786
313,42.19328,-77.3599
8619,42.128123,-77.031977
2170,42.490667,-77.026107
5324,42.320079,-77.646339
24673,42.432165,-76.497042
305,42.1457,-77.497396
567,42.02979,-77.134956
1123,42.34818,-76.833969
2366,42.34315,-76.618094
490,42.36232,-76.768965
896,42.321946,-77.187158
609,42.177508,-77.970614
266,42.046486,-77.570328
3061,42.505752,-76.684984
1783,42.377325,-76.945021
3264,42.046025,-76.529114
514,42.019072,-76.777083
329,42.020695,-77.792636
640,42.053364,-77.4295
6439,42.070383,-76.80065
3871,42.087725,-76.843282
13313,40.595359,-80.322827
5127,40.603639,-80.216428
117,40.345102,-80.381297
1367,40.607982,-79.740016
691,40.406974,-80.328574
4381,40.124908,-79.939333
507,40.592312,-79.783101
2005,40.179104,-79.864709
912,40.350648,-79.890176
975,40.384822,-79.807401
204,40.562483,-79.867088
533,40.56389,-80.216015
1646,40.677919,-80.485549
286,40.36685,-80.292127
3660,40.148547,-79.8782
4714,40.191166,-79.922476
4889,40.644174,-79.725395
5420,40.747074,-80.256143
996,40.20727,-79.962433
16687,40.557182,-79.725823
70,40.586037,-79.826914
48,40.625126,-80.415891
355,40.262466,-79.785744
184,40.272147,-79.89618
2880,40.225233,-79.748806
9377,40.410121,-80.114209
8724,40.361206,-79.895641
9568,40.463474,-80.106694
1498,40.407779,-79.776344
8085,40.497431,-79.831096
6196,40.47441,-79.950968
3495,40.456867,-80.06063
10452,40.43809,-80.099088
14131,40.472272,-79.913156
5068,40.403207,-79.928907
5589,40.498846,-79.969725
10873,40.406951,-79.984987
5525,40.430323,-80.015621
12913,40.480249,-80.049616
6187,40.486557,-80.013953
6732,40.42361,-79.889803
16067,40.435791,-79.86427
2364,40.447691,-79.993445
293,39.758268,-79.982725
2325,39.876241,-79.990272
604,39.744871,-79.960854
288,40.105341,-80.022613
905,40.030786,-80.01321
677,39.786257,-80.002141
132,39.985733,-79.996203
5039,39.880615,-80.171197
258,39.988535,-80.449029
13585,39.899955,-79.745637
204,40.088805,-79.859395
230,39.985307,-79.871134
1669,40.046956,-79.894985
912,39.819489,-79.359218
8076,40.029709,-79.54884
1727,39.949851,-79.596338
201,40.113849,-79.859899
230,39.946694,-79.844366
947,39.780202,-79.612138
1163,39.876113,-79.667849
424,39.736891,-79.83578
929,39.890125,-79.851171
608,39.78097,-79.485501
183,40.074612,-79.891797
907,40.009815,-79.418399
1673,40.054579,-79.823152
419,39.951648,-79.877545
2517,39.787462,-79.804657
832,40.151237,-79.707539
6501,40.039742,-79.12982
4868,39.941733,-78.548408
1643,40.183936,-79.082097
64,39.762035,-79.060801
573,39.981847,-78.241926
3309,40.000385,-78.366843
126,39.797439,-79.239272
181,40.162146,-79.071708
698,39.978253,-78.649618
960,40.122918,-78.621785
879,39.74842,-79.110357
64,39.739533,-79.134556
1516,40.146956,-79.417201
166,40.137347,-79.599717
1004,40.571026,-79.439869
339,40.597437,-79.562908
892,40.203588,-79.593819
74,40.082173,-79.326493
4315,40.656904,-79.629005
595,40.339497,-79.660846
306,40.356289,-79.3218
247,40.287221,-79.726231
1097,40.175948,-79.653825
3463,40.107158,-79.60822
372,40.623446,-79.431311
3790,40.64135,-79.549422
157,40.280112,-79.366167
85,40.642463,-78.87167
196,40.970657,-78.877426
951,40.594913,-78.724479
79,40.558009,-79.309754
1413,40.675665,-78.97178
27,41.057508,-79.094932
112,40.691553,-78.785122
66,40.922559,-79.084009
55,40.623001,-78.915191
186,40.804303,-78.645601
627,40.902975,-78.731671
61,40.648324,-78.800199
5920,40.962153,-78.968171
80,41.008791,-79.136716
570,40.870222,-78.898677
186,40.626766,-78.735444
71,40.69376,-78.965439
79,40.913146,-79.071425
7764,41.125057,-78.722433
1966,41.50076,-78.322783
1386,41.494401,-78.689588
482,41.164492,-78.582254
2875,41.392343,-78.791631
599,41.044954,-78.828292
98,41.023892,-78.791035
5061,40.379677,-78.955677
1078,40.026799,-78.816837
1560,40.474082,-78.838748
1281,40.363889,-79.079158
974,40.424043,-78.998097
4670,40.227773,-78.759251
17694,40.910025,-79.945191
2008,40.785481,-79.750315
720,40.862126,-79.733735
622,41.044024,-79.761496
1003,40.899334,-80.061602
161,41.153536,-79.663009
14107,40.983987,-80.29024
507,41.520379,-80.282617
625,40.960467,-80.498397
2021,41.211216,-80.497213
765,41.33617,-80.276062
1698,41.524682,-80.478678
739,40.868089,-80.398468
1244,41.10403,-80.444939
2936,41.285145,-80.45325
379,40.930551,-80.356613
7608,40.805185,-79.469413
144,40.754392,-79.583922
52,41.125744,-79.557679
4048,41.203544,-79.360488
1288,41.034009,-79.502976
777,40.925711,-79.451859
142,40.801717,-79.336609
692,41.733693,-79.122409
34,41.57106,-79.399591
140,41.290557,-79.449347
744,41.802378,-79.417668
236,41.425982,-79.752686
1428,41.378502,-79.67197
959,41.956923,-79.334404
